#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 71
#Resistor: 1000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Cs (F)
1,-15.44455647719057,2576.515720443649,0.0002319566105400009
1.258925411794166,-15.0296792272349,2516.189859765421,0.0001937500318026869
1.584893192461114,-15.14347199339196,2443.339331907562,0.0001573264395019443
1.995262314968879,-15.3574901298097,2382.18993275673,0.0001264325635503537
2.511886431509582,-15.5796548981222,2328.904343304321,0.0001012974181942741
3.162277660168379,-15.81653330109618,2279.388252261065,8.101082619669045e-05
3.981071705534977,-16.04507062117331,2231.115323569772,6.482916077561671e-05
5.011872336272725,-16.27974339179865,2183.308952424059,5.188471707870016e-05
6.309573444801942,-16.52566256650564,2134.64729470616,4.154282770769415e-05
7.943282347242822,-16.75331023062355,2084.433579777351,3.334727553714651e-05
10,-16.98191126739075,2032.541117129688,2.680983693349504e-05
12.58925411794166,-17.17686027442224,1979.151279615376,2.162942684497963e-05
15.84893192461114,-17.33352516720111,1923.343730623722,1.752443077761402e-05
19.95262314968879,-17.42186874578317,1865.189870641901,1.428361232354477e-05
25.11886431509577,-17.40959241963012,1805.28235156558,1.173039436523432e-05
31.62277660168379,-17.26193605518691,1744.465121346298,9.722567909706882e-06
39.81071705534969,-16.99444663209679,1683.63623530806,8.124080798641612e-06
50.11872336272725,-16.47749672285717,1623.677715243419,6.895325203560086e-06
63.09573444801929,-15.76810074155088,1566.102003383061,5.927060156586765e-06
79.43282347242805,-14.85033995886011,1512.613489078948,5.168349154695616e-06
100,-13.70912682440758,1464.307865829353,4.586193700093152e-06
125.8925411794169,-12.50650077055275,1421.810555708695,4.106004692981174e-06
158.4893192461114,-11.22223639607009,1385.427528744419,3.724430811075703e-06
199.5262314968879,-9.935512032393648,1354.924988800131,3.412054755611619e-06
251.1886431509582,-8.692123909329489,1329.545656693195,3.153412202415964e-06
316.227766016838,-7.522920062527251,1309.058649397065,2.936606632900861e-06
398.1071705534969,-6.456560097449353,1292.541083506228,2.750532352673098e-06
501.1872336272715,-5.504201800539181,1279.378780074664,2.58772116818401e-06
630.9573444801929,-4.659314681675647,1268.824303707492,2.447360820486724e-06
794.3282347242822,-3.930037174177449,1260.433714051473,2.319352176829956e-06
1000,-3.30437999669269,1253.859661117161,2.20213848356926e-06
1258.925411794166,-2.77746615007162,1248.761471575289,2.089222067090487e-06
1584.893192461111,-2.32947413304716,1244.658735963811,1.984971310561886e-06
1995.262314968879,-1.94888342489192,1241.227277183131,1.889684667713563e-06
2511.886431509582,-1.636550591995971,1238.851882844366,1.790824381490739e-06
3162.277660168379,-1.370803388086707,1236.835248051379,1.700972037950608e-06
3981.071705534969,-1.18390175283433,1234.790940473185,1.56698403158952e-06
5011.872336272725,-1.002653647811573,1233.245924977373,1.471513677371405e-06
