#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 71
#Resistor: 1000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Cs (F)
1,-14.60780605260632,664.9126529748279,0.0009490921671567572
1.258925411794166,-17.41647652573756,702.3737772763407,0.0006013441417764221
1.584893192461114,-19.72680228414967,713.5480260903627,0.0004169435875013221
1.995262314968879,-20.94736918371353,706.6980408774784,0.0003157168577952446
2.511886431509582,-21.75424244228478,695.1381912929024,0.0002459307610452976
3.162277660168379,-22.4368101198383,681.7042868826585,0.0001934383553180409
3.981071705534977,-23.09768667358194,667.0678420351439,0.0001527678064550791
5.011872336272725,-23.76684589096194,651.325645548241,0.0001209761870654657
6.309573444801942,-24.45948809617258,634.5205275406798,9.601120992118883e-05
7.943282347242822,-25.19855874825525,616.6886878224792,7.631199916993087e-05
10,-25.96692880277461,597.7948203278429,6.080514938108815e-05
12.58925411794166,-26.74840883223741,578.0129151351147,4.859583061366347e-05
15.84893192461114,-27.55823792286222,557.3406144877572,3.894456886199561e-05
19.95262314968879,-28.35176848745716,535.5606227138876,3.136348865856207e-05
25.11886431509577,-29.10264302420636,512.9619438425295,2.539587193521177e-05
31.62277660168379,-29.7884726514231,489.5387121701322,2.069436279587387e-05
39.81071705534969,-30.34771325034776,465.5914559215258,1.699463587381229e-05
50.11872336272725,-30.82191602858635,441.7913628398027,1.402871986527497e-05
63.09573444801929,-31.09369618656563,417.4397592218063,1.170057460946381e-05
79.43282347242805,-31.11102140763071,393.0488379769421,9.86590226007642e-06
100,-30.7700759796343,368.6197772521891,8.439484130574312e-06
125.8925411794169,-30.32985779768741,345.4651629487828,7.246759643788212e-06
158.4893192461114,-29.5226402491781,323.0630754538919,6.30798722027787e-06
199.5262314968879,-28.49024783949688,301.9448379100289,5.538163746653108e-06
251.1886431509582,-27.16734114736436,282.296105795965,4.915729881129636e-06
316.227766016838,-25.60800355075266,264.4908160748685,4.402638183025481e-06
398.1071705534969,-23.84224166321419,248.5362343021448,3.979356908224778e-06
501.1872336272715,-21.90784235787602,234.6158719143223,3.627607520885546e-06
630.9573444801929,-19.8485959184504,222.8130301836529,3.334217724304597e-06
794.3282347242822,-17.73245895340332,212.8632018712928,3.090498620132889e-06
1000,-15.65821871217165,204.7968380680102,2.879364464065418e-06
1258.925411794166,-13.6710765318352,198.2669151812955,2.697854724126869e-06
1584.893192461111,-11.83067348808031,193.0808650766093,2.536790100231381e-06
1995.262314968879,-10.11928703307653,188.9739968761569,2.402431225838373e-06
2511.886431509582,-8.617801459925557,185.7403264463075,2.276558473569809e-06
3162.277660168379,-7.321437734921156,183.3229627114822,2.154329194670311e-06
3981.071705534969,-6.185402030918179,181.188201304735,2.047806044872917e-06
5011.872336272725,-5.177166150318569,179.5826610246034,1.959644975666828e-06
6309.57344480193,-4.361021592526274,178.2732151780327,1.86074923460299e-06
7943.282347242822,-3.651113857494932,177.3962786789236,1.773645611513105e-06
10000,-3.038261644754207,176.4877871852012,1.70140023576751e-06
12589.25411794167,-2.507279489079284,175.8651155203419,1.643232186207913e-06
15848.93192461113,-2.053551696182706,175.3631941480484,1.598054779968288e-06
19952.62314968881,-1.682452818126254,174.8968511101703,1.553389246254142e-06
25118.86431509579,-1.36396098150484,174.5047161395969,1.525368132734129e-06
31622.77660168382,-1.130285071260626,174.3022654989601,1.463793820808424e-06
39810.71705534973,-0.8508088977321699,174.2162490468969,1.545389804863521e-06
50118.72336272719,-0.5993032141610797,173.905070642192,1.745789315589865e-06
63095.73444801931,-0.3571354322939364,173.7982440924185,2.328451799298879e-06
79432.82347242805,-0.1605174253937749,173.7021225441737,4.117333269658914e-06
100000,-0.01410760031314295,173.8701392610839,3.717616777490729e-05
125892.5411794166,0.1511766054669469,174.0961869552844,-2.752133008601624e-06
158489.3192461114,0.4307655326865775,173.9278420637202,-7.679568179561021e-07
199526.2314968879,0.6066350946294803,174.1720940989378,-4.325584233200143e-07
251188.6431509582,0.802098854695519,174.3777415588143,-2.595601430049205e-07
316227.7660168379,0.9062366219205449,174.9065813114683,-1.819336835083273e-07
398107.1705534976,1.121872335598859,175.0180431334485,-1.166659851371998e-07
501187.2336272722,1.344100956866716,175.3259668092345,-7.721549606258331e-08
630957.3444801936,1.745748415748061,175.6994865987554,-4.712570000329943e-08
794328.2347242814,2.172619295436233,176.3621868590718,-2.99679985130525e-08
999999.999999999,2.602818727745551,177.2861242813782,-1.976848920117716e-08
1258925.411794167,3.058051796732584,178.4383699789431,-1.328054488056889e-08
1584893.192461113,3.527869593513204,180.5054112758899,-9.040958333966069e-09
1995262.31496888,3.913716528065889,183.1266441823715,-6.381747851560162e-09
2511886.431509579,4.118872479302131,186.1527993838736,-4.738806476705501e-09
3162277.660168381,4.144140982654758,189.6165811856597,-3.67291318351335e-09
3981071.705534971,3.889052805390861,192.9375755248241,-3.055031150002945e-09
5011872.336272726,3.377481283457429,195.9582312278446,-2.750665954251531e-09
6309573.444801931,2.708390213817157,198.5822840508529,-2.688145525416726e-09
7943282.347242822,0.5270123585901096,199.026063704793,-1.094505969603812e-08
10000000,0.2316410218833556,193.5938629544281,-2.033465877806455e-08
