#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Resistor: 10000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm)
1847.849797422293,-1.232497652960806,217258.9993602352,-4674.210187437387
1995.262314968879,-1.290460522817046,217102.1986816347,-4890.573126302497
2154.434690031882,-1.312524224138638,217192.9485181846,-4976.298162800461
2326.305067153626,-1.443244369917786,217081.6445612366,-5469.305847476251
2511.886431509582,-1.626592506645569,217080.3295046919,-6164.435364420528
2712.272579332027,-1.803802686009658,217196.7891303225,-6840.113564389801
2928.644564625237,-1.854636255038679,216953.3430682753,-7025.126987038752
3162.277660168379,-1.914808440421253,217029.4824726539,-7255.764229805944
3414.548873833601,-2.223142578497428,217035.8653528966,-8425.471536661711
3686.945064519577,-2.336663173066058,216885.8500241371,-8850.046816656317
3981.071705534977,-2.509772350470706,216812.8849535612,-9503.30530007469
4298.662347082277,-2.763693768106977,216790.3580662476,-10465.12095645852
4641.588833612773,-2.960335786104952,216665.6524334915,-11204.56778526788
5011.872336272725,-3.153318242495557,216704.8336551844,-11938.5769540676
5411.695265464637,-3.399959196690319,216226.4398400743,-12846.06304198511
5843.414133735176,-3.675015264759965,216433.4846002951,-13901.3543403933
6309.57344480193,-3.978612898413719,216178.1517803453,-15035.56253136808
6812.920690579615,-4.363283191299076,215809.2323239294,-16466.50660151165
7356.422544596407,-4.62586821135321,215733.8819914236,-17455.57081282639
7943.282347242814,-5.05493769595763,215412.049555883,-19054.25729129637
8576.958985908946,-5.409450893208569,215410.8646649907,-20398.17175438417
9261.187281287937,-5.76728079802268,215022.3695283363,-21717.12587688108
10000,-6.200966055704652,214588.1037726282,-23315.38893171107
10797.7516232771,-6.760976804545283,214106.3833238854,-25382.75477408156
11659.14401179831,-7.255374560458408,213802.880132134,-27219.54207546743
12589.25411794166,-7.815972244150801,213187.5234972776,-29263.60552887327
13593.56390878527,-8.571737921963734,212320.6183038528,-32003.35646549701
14677.99267622071,-9.16931134671808,211652.6754371739,-34163.92445357308
15848.93192461113,-9.837960367752137,210575.8695260052,-36516.46090751994
17113.28304161781,-10.74587410907797,209632.5398828246,-39784.34162468404
18478.49797422291,-11.48943765278286,208969.9116530549,-42475.29282859981
19952.62314968879,-12.52006173587879,207082.5378689022,-45985.17154248208
21544.34690031884,-13.37010417220107,205496.1255627363,-48842.78728775012
23263.05067153629,-14.46082319347476,203721.2971768898,-52537.32203514103
25118.86431509579,-15.43411404584504,202416.7951094472,-55884.55904977341
27122.7257933203,-16.74460353380243,199283.1003345029,-59956.93623119297
29286.44564625237,-18.01387859591692,196895.2981332308,-64027.89313184768
31622.77660168379,-19.27577215230199,193464.65719515,-67658.53276375362
34145.48873833604,-20.82316878936115,190067.4961151785,-72287.83059766282
36869.45064519573,-22.2415417103432,186385.3088172528,-76220.12461928798
39810.71705534973,-26.62396963580114,180942.1891014777,-90703.79761701576
42986.62347082273,-20.34917151284244,197527.5259060236,-73260.42686630087
46415.88833612777,-20.56837896740025,174896.8038641201,-65629.24839219503
50118.72336272724,-30.15900494678484,147668.3451339661,-85803.64144630269
54116.95265464637,-29.88230203567042,165589.7561287612,-95150.28384946102
58434.14133735175,-32.97046791085696,152632.6689140396,-99009.00151670011
63095.73444801936,-34.91880925569778,145326.7458551909,-101452.284479266
68129.20690579608,-37.09842478734651,137713.0642400073,-104145.6209259353
73564.22544596414,-39.08278161478053,130381.7889502602,-105893.3619632582
79432.82347242814,-40.94630774700658,122804.0297132756,-106550.0366671011
85769.58985908945,-43.05209017750274,114247.2572634184,-106731.6445200851
92611.87281287937,-45.53568212358755,105467.1321077771,-107457.9151278645
100000,-47.23194329272776,98221.13694367632,-106187.8707895738
107977.516232771,-49.82445634374755,89111.11775755546,-105540.1127984222
116591.4401179831,-51.05679763857654,82708.91262000377,-102344.276750212
125892.5411794167,-52.63413708881014,75646.51926885372,-99063.80894178405
135935.6390878526,-54.94399704365899,67368.7216940233,-96012.63066501706
146779.9267622069,-56.73160176783749,61238.68293937,-93339.13480859571
158489.3192461114,-59.07443098740826,54749.43510961159,-91387.06440747069
171132.8304161779,-60.67386491055001,49242.12878969681,-87654.73091105931
184784.9797422291,-62.19970027622094,44162.79373084985,-83761.12955703428
199526.2314968881,-63.81335742421703,39451.18886918969,-80222.60794398459
215443.4690031882,-65.27147886421245,35042.9792327774,-76089.10840275907
232630.5067153626,-66.81784108931032,31076.52583881747,-72569.36690218221
251188.6431509582,-68.01055344549695,27655.15500692519,-68485.2263306255
271227.2579332027,-69.16603885429461,24628.55814031518,-64719.55143536082
292864.4564625237,-70.48843205279171,21635.3695275735,-61057.21919926049
316227.7660168378,-71.75797659054585,19107.32372350863,-57971.91778102509
341454.8873833601,-72.74365812003542,16792.53043779078,-54059.65677770757
368694.5064519577,-73.73228776384204,14806.88888292609,-50741.74031006578
398107.1705534972,-74.70892076535515,12997.78705653439,-47540.9882329782
429866.2347082276,-75.68861911473802,11365.67723087962,-44552.35215921058
464158.8833612778,-76.42272702045948,10267.08428483579,-42512.81651087358
501187.2336272722,-76.95716013264288,8927.636343686723,-38538.35476164995
541169.5265464637,-78.23124740816839,7591.827347481991,-36439.29440311725
584341.4133735176,-78.99897317489588,6607.858199952421,-33991.23109285769
630957.3444801933,-79.72330045670822,5750.180189659928,-31714.50563163681
681292.0690579616,-80.37543068019427,5006.225419371299,-29521.58887645336
735642.2544596414,-80.93434251317788,4393.05751012487,-27532.43720907477
794328.2347242818,-81.46691277610822,3839.54539046423,-25589.90103972928
857695.8985908937,-82.18286729502285,3268.940145201201,-23810.89040711856
926118.7281287938,-82.79149254516435,2797.041608143282,-22114.45629844627
1000000,-83.29412255999726,2415.9809980824,-20548.0750488241
1079775.162327709,-83.82520938904824,2066.339444493518,-19099.24174822217
1165914.401179832,-84.22925424310725,1790.092051824527,-17713.07835297585
1258925.411794167,-84.61703630633521,1549.612884437795,-16445.38210514046
1359356.390878526,-85.09188988490479,1309.800136807754,-15252.78840205054
1467799.26762207,-85.45672305396468,1124.270097474555,-14148.56852992316
1584893.192461113,-85.76362431275933,972.4753243789261,-13128.47632255105
1711328.304161781,-86.01421383264163,848.0875394289993,-12171.60826141423
1847849.797422292,-86.33022051893008,723.3399733338571,-11277.96343927667
1995262.314968879,-86.64110202817712,613.2562239161647,-10448.8829570469
2154434.690031885,-86.89454872444773,525.404995021331,-9684.262346686652
2326305.067153625,-87.1127592073401,452.7633518593028,-8977.244813351374
2511886.43150958,-87.31495591603239,390.2079119212816,-8320.495649281538
2712272.579332029,-87.48209011499495,338.5691058487659,-7699.279313868884
2928644.564625236,-87.76888927985816,278.1654395891798,-7139.784264917621
3162277.66016838,-87.8925157442084,243.7162440412403,-6622.879416573036
3414548.8738336,-88.118914833798,201.3203436385245,-6129.792281187902
3686945.064519575,-88.30077129851087,168.5668844693145,-5682.189378240641
3981071.705534974,-88.37337304005668,149.6061365604133,-5268.262095521419
4298662.347082276,-88.53320853088329,125.0977473128219,-4885.498183086626
4641588.83361278,-88.70950125649361,101.9309217997515,-4524.780845953029
5011872.33627272,-88.87054969741186,82.69761605450218,-4194.616275260112
5411695.265464636,-88.99967414370387,67.93693210250845,-3890.836122380483
5843414.133735179,-89.18817087466869,51.16578194936905,-3610.842580612123
6309573.44480193,-89.39676121721885,35.30672521190069,-3353.318210883725
6812920.690579614,-89.64336079197308,19.48491967993543,-3130.304291805171
7356422.544596417,-91.14803460000721,-58.48791992847894,-2918.607578174534
7943282.347242814,-91.27875934539087,-59.02971009986617,-2644.431634058868
8576958.985908944,-90.93707391316352,-39.50198047403732,-2415.065586050691
9261187.281287931,-90.91070648674865,-35.63842209714953,-2241.95088088161
10000000,-91.04605787013899,-37.74036269441348,-2066.925072136892
