#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 71
#Resistor: 10000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Cs (F)
158.4893192461114,-0.5231959812640036,199716.1860965356,5.506442851288527e-07
199.5262314968879,-0.5258830698172611,199992.700270241,4.345557772910583e-07
251.1886431509582,-0.6478048917795273,199661.6892551928,2.806810242018567e-07
316.227766016838,-0.678880630000108,199430.375228559,2.129944083112708e-07
398.1071705534969,-0.9341398456706268,199316.5907286234,1.230287629447623e-07
501.1872336272715,-1.033717524925274,199331.550189802,8.830563174901144e-08
630.9573444801929,-1.278745252175645,199266.672038278,5.672312080203503e-08
794.3282347242822,-1.53402341503769,199326.331604221,3.75489665676281e-08
1000,-1.834717104583351,199139.2011323163,2.496267468885201e-08
1258.925411794166,-2.293973720810019,198729.5380648725,1.589307516204761e-08
1584.893192461111,-2.92897535707884,199180.1066428769,9.866662156558754e-09
1995.262314968879,-3.646331337742786,198955.5377859993,6.304110233896575e-09
2511.886431509582,-4.556053974998954,198478.4616401532,4.018817629233429e-09
3162.277660168379,-5.712070435249438,198162.2394259534,2.551807763206761e-09
3981.071705534969,-7.15667979558525,197451.9777452011,1.625172936887642e-09
5011.872336272725,-8.955823158204666,196558.4555421603,1.037804239979882e-09
6309.57344480193,-11.27388919622768,195125.7208423165,6.612421672876205e-10
7943.282347242822,-14.04874912823669,192625.5222272495,4.285009349950264e-10
10000,-17.33003704709862,189528.9255879365,2.819097183409115e-10
12589.25411794167,-21.40405711693154,184338.640554262,1.879226191470671e-10
15848.93192461113,-26.2517264405601,176989.3161274354,1.282746124286877e-10
19952.62314968881,-31.61303667544136,167296.0310340273,9.096080718003767e-11
25118.86431509579,-37.44495233394155,154817.583996154,6.731270378397119e-11
31622.77660168382,-43.38876470877874,139522.3083189153,5.251150897743712e-11
39810.71705534973,-47.16548090550177,119935.1260409627,4.545482360443161e-11
50118.72336272719,-55.01113353254646,98107.87290266932,3.950869397833397e-11
63095.73444801931,-60.27919412772911,89707.04277518429,3.237784960126786e-11
79432.82347242805,-64.51430698131679,74740.29579035492,2.969787410146612e-11
100000,-67.91870393102919,62079.11661322501,2.766675460395001e-11
125892.5411794166,-70.95567188845935,51217.53916757265,2.611242453950807e-11
158489.3192461114,-73.50386232051284,41407.43756258128,2.52927552105156e-11
199526.2314968879,-75.45729895693299,33745.11991096767,2.442032275821554e-11
251188.6431509582,-77.07833233198136,27503.2528212373,2.363608197133143e-11
316227.7660168379,-78.65369147516738,22354.5099553189,2.296290787915901e-11
398107.1705534976,-79.83601200735518,18280.12141563902,2.221828878168841e-11
501187.2336272722,-81.49179862982244,14703.60711706944,2.183746789733864e-11
630957.3444801936,-82.79107148639372,11867.67632018675,2.14240270807504e-11
794328.2347242814,-84.03965047364149,9538.050425195703,2.112101014181174e-11
999999.999999999,-85.13602891460781,7636.219022763793,2.091744108723786e-11
1258925.411794167,-86.06793344709817,6098.94478770292,2.077729181958047e-11
1584893.192461113,-86.8580218491432,4856.901446692388,2.070685638290897e-11
1995262.31496888,-87.49697761566665,3862.081905311481,2.067346159243137e-11
2511886.431509579,-87.97409890576763,3070.714150913407,2.064677773926085e-11
3162277.660168381,-88.35773877241409,2438.889932294687,2.064459439009892e-11
3981071.705534971,-88.63481769367382,1935.380966659626,2.066221883899417e-11
5011872.336272726,-88.85336768031469,1539.579864570452,2.063026860507585e-11
6309573.444801931,-89.1675133000951,1228.681130331671,2.053178872631259e-11
7943282.347242822,-91.68426001366292,945.8826891446299,2.119193055337858e-11
10000000,-89.85852689512436,726.6008765443521,2.190410628440291e-11
