#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Resistor: 10000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm)
18478.49797422291,-37.42981139833625,366421.58379934,-280452.6718634149
19952.62314968879,-38.75806144713948,350083.3348889716,-281052.5749301407
21544.34690031884,-41.24988663139541,326907.0376118679,-286688.6332639849
23263.05067153629,-42.99759401746386,305184.4358704995,-284565.1319671349
25118.86431509579,-45.20833062967558,282903.5652881836,-284968.3882827808
27122.7257933203,-47.22449159744067,260186.0277009342,-281216.3830807209
29286.44564625237,-49.3780751407546,240057.428114202,-279862.9994043474
31622.77660168379,-50.87371165633846,220921.9538133673,-271589.7072791677
34145.48873833604,-53.25510485494964,200717.1112719846,-268842.7700963888
36869.45064519573,-54.31198055238966,185085.8751153497,-257687.9376597319
39810.71705534973,-55.07855282871569,193521.0317755524,-277184.7220422667
42986.62347082273,-62.38391676061006,165230.7921945696,-315841.385911465
46415.88833612777,-69.16273456286045,86352.05641485569,-226878.7667830756
50118.72336272724,-60.23849507850412,108623.1445350574,-189962.5358169338
54116.95265464637,-62.5381697116588,105500.4050448855,-202994.4543645181
58434.14133735175,-64.27302114837202,97395.84555798119,-202129.9953148735
63095.73444801936,-65.25776203999325,88002.53921631984,-190960.3026354643
68129.20690579608,-66.8356512663449,77507.42705880011,-181149.5925103438
73564.22544596414,-67.5211959872917,70957.7026700717,-171486.4551105824
79432.82347242814,-68.84253349256981,62680.21789772766,-161955.7455586384
85769.58985908945,-69.41673303199914,57075.07434002102,-151980.5284331901
92611.87281287937,-70.57368367162566,50296.50104767573,-142615.5450668467
