#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 71
#Resistor: 10000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Cs (F)
1,-11.88491316227364,18862.50913290022,4.097002285187331e-05
1.258925411794166,-12.33265572055421,18598.8573090535,3.18242816103175e-05
1.584893192461114,-12.72461782299808,18298.47176649933,2.491490060295637e-05
1.995262314968879,-13.0357579567584,17922.24577011261,1.97318285190331e-05
2.511886431509582,-13.24099955301491,17501.11882974202,1.580624813367313e-05
3.162277660168379,-13.33827674061848,17052.0407736182,1.279371017065701e-05
3.981071705534977,-13.3065876936226,16582.52531984332,1.047457812366704e-05
5.011872336272725,-13.10863796341734,16103.09671072496,8.695033056071468e-06
6.309573444801942,-12.7386911750466,15625.99734455995,7.320725096094239e-06
7.943282347242822,-12.18971980225544,15165.61390900012,6.257058848503818e-06
10,-11.46546288179498,14737.00409915921,5.433057862221224e-06
12.58925411794166,-10.59639763803238,14347.78278558752,4.791574977223272e-06
15.84893192461114,-9.631929830295352,14006.69250997945,4.284906602633904e-06
19.95262314968879,-8.605330848320889,13715.49189004983,3.886850133961641e-06
25.11886431509577,-7.581017750959698,13474.55087110513,3.56425596946136e-06
31.62277660168379,-6.607293115087926,13276.91607570016,3.294465646897557e-06
39.81071705534969,-5.695693284369844,13117.30402685349,3.070910144278673e-06
50.11872336272725,-4.904855390770463,12976.00219010343,2.86224114650289e-06
63.09573444801929,-4.155951953156137,12889.74524032601,2.700280044733359e-06
79.43282347242805,-3.512099326592612,12809.48917159956,2.553384205609917e-06
100,-2.946800232555344,12739.69027897989,2.430102994606652e-06
125.8925411794169,-2.489547201971348,12696.6694407502,2.292288369074331e-06
158.4893192461114,-2.092121947272721,12657.69056234803,2.17319054131867e-06
199.5262314968879,-1.752937533230698,12627.75032568102,2.064990658579135e-06
251.1886431509582,-1.470730390066047,12600.67537150681,1.959131414262625e-06
316.227766016838,-1.235956369809694,12579.75307269248,1.854817521202575e-06
398.1071705534969,-1.047532422684071,12564.57861100456,1.740409949511123e-06
501.1872336272715,-0.8829647845579611,12550.1234759451,1.641982682971256e-06
630.9573444801929,-0.7542277482687995,12540.51390020401,1.528049653683827e-06
794.3282347242822,-0.6604301438555074,12531.64707644732,1.387130554726222e-06
1000,-0.5764444048055801,12521.72928420546,1.263363578096863e-06
1258.925411794166,-0.508358349168861,12514.97614678911,1.138540477310936e-06
1584.893192461111,-0.4845559940863714,12512.64181636809,9.489754077015552e-07
1995.262314968879,-0.4565573855212191,12506.02513004947,8.004472012473891e-07
2511.886431509582,-0.4694808575100485,12500.69636571763,6.185795071446987e-07
3162.277660168379,-0.4867584744951862,12499.79319132601,4.739490304476889e-07
3981.071705534969,-0.5241311005912284,12494.23944933136,3.497832961565661e-07
5011.872336272725,-0.5832897730119239,12490.77063707923,2.497334231496998e-07
6309.57344480193,-0.6672890989842417,12486.39855184404,1.734608054900803e-07
7943.282347242822,-0.7837199327537481,12479.79042492168,1.173783829456282e-07
10000,-0.9374675302411443,12479.83387007712,7.794658688603528e-08
12589.25411794167,-1.124318995006252,12474.79907107677,5.164728888375129e-08
15848.93192461113,-1.377923478018122,12475.3062420324,3.347405405892277e-08
19952.62314968881,-1.679808294005862,12472.78731624883,2.181633252106165e-08
25118.86431509579,-2.110592308063149,12471.90555117539,1.379443202228711e-08
31622.77660168382,-2.626657890971743,12469.81296589751,8.807069962148668e-09
39810.71705534973,-2.821878863385587,12479.65769392258,6.506947672249881e-09
50118.72336272719,-3.693203350732408,12602.88586087963,3.911743088143663e-09
63095.73444801931,-5.200882437614316,12458.19867940009,2.233608451469667e-09
79432.82347242805,-6.582489924266183,12443.11832893861,1.404685544433388e-09
100000,-8.330993997098076,12422.65192317901,8.842254747814717e-10
125892.5411794166,-10.7195088920335,12351.63478722726,5.502752669187709e-10
158489.3192461114,-13.34257502781175,12299.96755718617,3.537785621538303e-10
199526.2314968879,-16.73055417104943,12201.32876357441,2.270987255105392e-10
251188.6431509582,-21.32275215794074,11920.75285139317,1.461730402801657e-10
316227.7660168379,-26.66789016937659,11508.29576697393,9.744029638428273e-11
398107.1705534976,-32.8794497044718,10896.53179340251,6.758236479964059e-11
501187.2336272722,-39.66925224934313,10047.9440214924,4.950861505113697e-11
630957.3444801936,-46.64243561496161,9001.067090000506,3.854268176517687e-11
794328.2347242814,-53.41820874179967,7837.476304281203,3.183644781542079e-11
999999.999999999,-59.71015313986679,6656.315286077596,2.769054339122053e-11
1258925.411794167,-65.19561458536728,5534.357463353135,2.516453339018446e-11
1584893.192461113,-69.92461153598587,4532.608311562605,2.358818555425142e-11
1995262.31496888,-73.75485781457832,3673.537017709487,2.261680190701773e-11
2511886.431509579,-76.9998387712476,2955.008323775512,2.2005830952279e-11
3162277.660168381,-79.53982723281194,2366.282086987786,2.162876142768563e-11
3981071.705534971,-81.55874487537818,1887.657269519091,2.141052986229697e-11
5011872.336272726,-83.17625869685152,1504.435373686604,2.125856417565362e-11
6309573.444801931,-84.53609617935223,1202.789480291687,2.10672706531341e-11
7943282.347242822,-87.80946114933511,929.0965647511092,2.158125804753655e-11
10000000,-86.81303259104517,714.2643430133179,2.231687319770655e-11
