#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.01 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
0.1,-14.36519565971617,7611.908273041748
0.1258925411794166,-15.92926899642225,9481.456968538361
0.1584893192461114,-34.59760017354452,15624.12818745453
0.1995262314968879,-31.49681536623092,11550.98152760599
0.2511886431509582,-38.87541250639875,11214.02702036431
0.3162277660168379,-48.80150616677826,9062.06105501132
0.3981071705534969,-35.11179203309667,6970.787914437785
0.5011872336272725,-54.18699140390655,6557.98711145669
0.6309573444801929,-51.11197293167697,5188.142907235867
0.7943282347242822,-52.62668025721756,4790.575135952332
1,-52.5142891974615,4256.132001751234
1.258925411794166,-57.49492482586405,3905.855948185673
1.584893192461114,-59.0007358162616,3314.791381835379
1.995262314968879,-65.87047493242864,2849.003489590735
2.511886431509582,-72.16879943089685,2278.424013802857
3.162277660168379,-70.96041773152825,1756.766925510291
3.981071705534969,-74.12528576532947,1508.072639134188
5.011872336272725,-77.50296974866171,1211.509215866407
6.30957344480193,-76.82499469490064,992.5002226001814
7.943282347242822,-77.01881898452007,792.1756315435032
10,-77.82387540684111,636.5872597258498
12.58925411794166,-78.14479724185718,518.9080744223215
15.84893192461114,-78.08710940168793,420.6037305520624
19.95262314968879,-77.27124247886769,341.2307930784968
25.11886431509582,-76.92064146944374,275.0765891755499
31.62277660168379,-75.58195682671236,223.8091118922933
39.81071705534969,-73.6961093238948,181.8799722784753
50.11872336272725,-71.68320039382944,148.4200760079229
63.09573444801929,-68.90456130299853,120.6199974240942
79.43282347242821,-65.96039976644495,99.81434127598328
100,-61.82968406703112,82.84779049613422
125.8925411794166,-57.37948715732911,69.53392462213588
158.4893192461114,-52.00653394552611,59.85775827408197
199.5262314968879,-46.79603482372649,52.15801498591007
251.1886431509582,-41.03793007663135,46.90562479146899
316.227766016838,-34.4671933542466,42.59114263924855
398.1071705534969,-30.80827232480047,39.39557358662229
501.1872336272725,-24.9805032700128,37.71522046883606
630.9573444801929,-21.07111412455553,36.71114546718067
794.3282347242822,-17.14924329438214,35.37928974242864
1000,-14.00832655751692,33.84821749251171
1258.925411794166,-11.06154392470333,33.5361646037839
1584.893192461114,-10.04496243455127,33.77852632168501
1995.262314968879,-6.744618638997752,32.81291832435337
2511.886431509582,-5.736356148995619,32.20182397818798
3162.277660168379,-6.253353372950192,32.84572966150387
3981.071705534969,-4.596146080106116,33.37342796880824
5011.872336272725,-5.106733752140423,32.53216296695751
6309.57344480193,-1.977452624740641,32.16094763415665
7943.282347242822,-2.043851896399623,32.2622131987687
10000,-2.306406362684648,32.68694609356711
12589.25411794166,-1.727040453579198,32.07030049894065
15848.93192461114,-1.973606635922345,32.5721624528616
19952.62314968879,-1.050003280246741,32.58947797096121
25118.86431509582,1.218826986690789,33.05126424149218
31622.77660168379,0.06309455984038302,32.04101190323686
39810.71705534969,-3.728738580089065,31.89520040432805
50118.72336272724,3.931093222398047,31.54471400640723
63095.73444801931,-1.582871768890754,31.22078857327671
79432.82347242821,0.6671029800939099,31.22529127339957
100000,0.9772944559529756,29.87421000237238
125892.5411794166,-3.792016746557092,34.36334742240045
158489.3192461114,-1.019339464987002,34.93143934149616
199526.2314968879,-4.846105592487878,31.81298514196781
251188.6431509582,-0.02625768008943528,34.2206405889069
316227.7660168379,-6.973259094893484,31.97853911216654
398107.1705534969,-4.67157242255159,31.59127428029842
501187.2336272725,3.078036558208064,32.26830470606918
630957.344480193,2.499947491189661,32.21381953803344
794328.2347242822,1.895947478467473,32.10635888060646
1000000,-2.505442114657499,32.08255373476038
1258925.411794166,0.4087594637376853,32.05766078316532
1584893.192461114,2.735116840410996,33.20448650587722
1995262.314968879,0.9182100840725501,32.18258389689019
2511886.431509582,3.260512792564199,34.25970815464448
3162277.66016838,2.513179989325669,34.11875671425477
3981071.705534969,3.478390735426135,34.45901941954565
5011872.336272725,5.610338736353819,35.93558842780381
6309573.44480193,7.30721917399193,37.55497175841154
7943282.347242822,8.79545152224601,38.12999285270412
10000000,12.17494328752134,40.82492249005492
