#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.5 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
0.1,-32.91752755147557,4114.897829739339
0.1258925411794166,-33.49416903930621,4621.478827044984
0.1584893192461114,-34.20907731941809,4463.374850462242
0.1995262314968879,-34.89563674187064,4115.649986785135
0.2511886431509582,-35.83152272511357,3723.96100102332
0.3162277660168379,-36.79089947704405,3339.317249430675
0.3981071705534969,-37.58427983437137,2980.985530302378
0.5011872336272725,-38.59891682912207,2654.887734629672
0.6309573444801929,-39.36615981363745,2351.516106759749
0.7943282347242822,-40.21925596299137,2081.440626236392
1,-41.00272740296166,1839.781518120083
1.258925411794166,-41.71064107648213,1623.729030686692
1.584893192461114,-42.44908189081848,1432.304180690459
1.995262314968879,-43.13602788864893,1262.547436985587
2.511886431509582,-43.79778984167925,1113.215036887257
3.162277660168379,-44.4166270023201,979.5782687952377
3.981071705534969,-45.00441887478544,861.8476345894076
5.011872336272725,-45.55116007236788,758.066023005279
6.30957344480193,-46.00809526832349,666.629088307719
7.943282347242822,-46.44006960202898,586.2157276517273
10,-46.76083245854214,515.3126865071007
12.58925411794166,-46.97468505860234,453.1582055936795
15.84893192461114,-47.05601194298826,398.6973122485223
19.95262314968879,-47.01031452015771,350.6901416987117
25.11886431509582,-46.81128812343143,308.4628347547319
31.62277660168379,-46.46887218412591,271.1993943261491
39.81071705534969,-45.93469562615206,238.5368369621899
50.11872336272725,-45.14597833487581,209.7359958721419
63.09573444801929,-44.12150424323606,184.6011748303478
79.43282347242821,-42.88533028441329,162.913259188874
100,-41.48834118368985,144.4189236965902
125.8925411794166,-40.12545250317525,129.1437045141891
158.4893192461114,-38.91459579318133,116.4878047243013
199.5262314968879,-37.89826530367805,105.9055292428009
251.1886431509582,-36.98685766656421,96.73347484742717
316.227766016838,-36.15559887471475,88.71102398363836
398.1071705534969,-35.12977607137123,81.4007645917366
501.1872336272725,-33.86125432606205,74.76795566726037
630.9573444801929,-32.23958771218858,68.81648527427222
794.3282347242822,-30.26574402017945,63.57130813518216
1000,-28.03108053781055,59.08003616483001
1258.925411794166,-25.61374228727881,55.26973679788839
1584.893192461114,-23.16044645591182,52.04716312775645
1995.262314968879,-20.70766425364967,49.41073020700318
2511.886431509582,-18.36415564983347,47.24107152827684
3162.277660168379,-16.09205422009875,45.48150201021134
3981.071705534969,-14.00750728231381,44.05209073250805
5011.872336272725,-12.08296352530103,42.87755674693033
6309.57344480193,-10.40831795213145,41.95774119077083
7943.282347242822,-8.869141361348461,41.21668326698872
10000,-7.485807905570175,40.67255056623339
12589.25411794166,-6.262657197154575,40.21131697821297
15848.93192461114,-5.222628389803529,39.84307651873113
19952.62314968879,-4.293948055671311,39.59869236814959
25118.86431509582,-3.554838506115119,39.42765717727872
31622.77660168379,-2.975882998199696,39.18190533223591
39810.71705534969,-2.355936691702973,39.10623436746677
50118.72336272724,-1.779719554155105,39.04308687567131
63095.73444801931,-1.484781085268703,38.90445020269541
79432.82347242821,-1.232288450931567,38.88974197083905
100000,-0.9824763781607432,38.84411084973914
125892.5411794166,-0.703277602626957,38.83365661472552
158489.3192461114,-0.2875246689343409,38.82245887386279
199526.2314968879,-0.1626335506489518,38.75801510153818
251188.6431509582,0.03721876536174128,38.82934618719309
316227.7660168379,0.130468980533453,38.85020122060359
398107.1705534969,0.216251857139967,38.85281877766906
501187.2336272725,0.4401564596040284,38.83296372815722
630957.344480193,0.6664176165019932,38.76579787882488
794328.2347242822,0.8703938722962803,38.78970278234359
1000000,1.187201919936014,38.84135315414148
1258925.411794166,1.534467844574653,38.8294970569503
1584893.192461114,1.958889823411375,38.83185910484143
1995262.314968879,2.517003619602039,38.88305921896543
2511886.431509582,3.189053353260546,38.91467084180908
3162277.66016838,4.046720319679855,38.96996690926986
3981071.705534969,5.090077722730015,39.05998402310414
5011872.336272725,6.406990981633014,39.22976261307029
6309573.44480193,7.672434655605199,39.46552279861145
7943282.347242822,9.70734555557239,39.76016248268124
10000000,11.84731246359817,40.20834241216307
