#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+06 Hz
#Steps: 71
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm)
0.1,-35.08327812572291,959.6319814179803,-674.0223289614605
0.1258925411794166,-35.9640270714437,840.7581416548625,-610.0404047880997
0.1584893192461114,-36.17499413348219,748.1366366127803,-547.0519920755628
0.1995262314968879,-36.23563971183559,668.3126275616722,-489.7695842866076
0.2511886431509582,-36.15636003277474,602.4737184459487,-440.239811764765
0.3162277660168379,-36.10807155731443,543.3406764936069,-396.3280932634839
0.3981071705534978,-35.9505339289349,492.100447904293,-356.8831927928916
0.5011872336272726,-35.80517771024231,445.8009280570108,-321.583015173927
0.6309573444801944,-35.62555991300852,404.906827631052,-290.1581181792773
0.7943282347242823,-35.43778103810558,369.3286701146367,-262.8349288728325
1,-35.30094228541142,337.4021638462627,-238.9023790838291
1.258925411794166,-35.21765573974611,308.5236631826878,-217.7819157350627
1.584893192461114,-35.19519628994406,282.4701679935274,-199.225318883592
1.995262314968879,-35.15454475338387,259.5561787791759,-182.7885292910916
2.511886431509577,-35.25180615935439,237.8283123059336,-168.0916753764538
3.16227766016838,-35.39706215284822,218.2879077587243,-155.112296517014
3.98107170553497,-35.55964783140099,200.2706385196044,-143.1664619950132
5.011872336272726,-35.84429214945238,183.4152674511687,-132.4989240236362
6.309573444801931,-36.13691590871709,167.6516933954957,-122.4192530688651
7.943282347242806,-36.40572484253521,153.0853022949871,-112.8878305927758
10,-36.56444824957154,139.7962746846644,-103.6873518827737
12.58925411794169,-36.655942885708,127.4474375743388,-94.84403259106757
15.84893192461114,-36.61340205303209,116.1846560739427,-86.32851398763697
19.95262314968879,-36.39047697720204,106.1615640827657,-78.24182272630962
25.11886431509582,-36.03669152136614,97.05592895215921,-70.61026619874056
31.6227766016838,-35.44988246399164,88.97850506826708,-63.35039376396213
39.8107170553497,-34.79696075748782,81.83029105377207,-56.86709666786859
50.11872336272715,-34.06524807197794,75.42908967212338,-51.0026380811362
63.0957344480193,-33.01098296319811,70.03676214838906,-45.50149462761213
79.43282347242823,-31.97885148435842,65.05153933439379,-40.61533419303212
100,-30.86292796360746,60.66765307779666,-36.25554803601985
125.8925411794166,-29.75723174901374,56.68582868354581,-32.40811294427192
158.4893192461111,-28.6214829096896,53.09560560246005,-28.97449519749472
199.5262314968879,-27.48078855829518,49.89108289913614,-25.950395666946
251.1886431509583,-26.3212022427501,46.94748670904509,-23.22451352678116
316.227766016838,-25.00898130595295,44.264401821578,-20.64927751180907
398.107170553497,-23.69312356144355,41.86621171065473,-18.37198952303851
501.1872336272726,-22.19389208339389,39.72485242682684,-16.20647214253366
630.957344480193,-20.70215280976656,37.83339631285943,-14.29767369452937
794.3282347242823,-18.9478395461009,36.19945591480721,-12.42762165048039
1000,-17.10860174472619,34.8204701297531,-10.71789790560759
1258.925411794168,-15.11003760558505,33.74461259279167,-9.111337638943425
1584.893192461113,-13.12602326286683,32.89673663169793,-7.671062622909513
1995.262314968881,-11.2875817492521,32.22102610518197,-6.43113425083766
2511.88643150958,-9.64376567842603,31.71026296009781,-5.388307723770562
3162.277660168383,-7.983223035919115,31.28961250786406,-4.388125664493169
3981.071705534974,-6.583526653719168,30.99200838098538,-3.576868085485576
5011.87233627272,-5.63753568374903,30.73061212919066,-3.033490001428002
6309.573444801931,-4.402842690728958,30.72433140976084,-2.365641856691584
7943.282347242806,-3.733546140365721,30.57500170726295,-1.995173587004727
10000,-3.185569352406966,30.44598463334106,-1.694502749264367
12589.25411794166,-2.081791808482718,30.40965699208502,-1.105394647357858
15848.93192461114,-1.82073870322092,30.29845545398091,-0.9631450662109023
19952.62314968879,-1.406399265763707,30.34742555964434,-0.7450665901690128
25118.86431509582,-0.980096139314917,30.46657831602942,-0.5212092210288635
31622.7766016838,-0.7222097955281105,30.29094391713253,-0.3818357177441116
39810.71705534976,-0.6204125235195564,30.1877045558441,-0.3268925241336978
50118.72336272723,-0.1681754149410754,30.34384881464577,-0.08906596723053464
63095.73444801936,0.1863749433944271,30.30759550736198,0.09858660389758972
79432.82347242815,0.9657751142604062,30.34416403896366,0.5115283276949253
99999.99999999991,0.7916041898236282,30.17502664134193,0.4169276987367306
125892.5411794168,0.9400529010096065,30.26914738229353,0.4966710211153235
158489.3192461113,1.828525503425368,30.17599925498509,0.9633575970036671
199526.231496888,2.127933895599271,30.63222553698762,1.138187456302355
251188.6431509579,3.194347777799786,30.40559284802914,1.696927687419731
316227.7660168381,3.835355442436965,30.18610804130394,2.023668935564663
398107.1705534972,3.809582350628377,30.4712837660033,2.029019099894632
501187.2336272727,5.002517871084115,30.27697634296,2.650232911188288
630957.3444801932,6.373488225654865,30.37483367829743,3.392852423831728
794328.2347242823,8.232038317896976,30.52019515542297,4.415449201719458
1000000,10.0330070967218,30.4844184967865,5.393334863621115
