#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.02 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm)
0.1,-35.58698793347436,2310.959273193373,1879.348209009598
0.1258925411794166,-35.58392283367352,2138.439824174241,1739.116280078767
0.1584893192461114,-38.553826802416,1917.628435817373,1499.629517602353
0.1995262314968879,-38.9031193129211,1710.676246689836,1331.263582202875
0.2511886431509582,-41.22892476727812,1576.864843884685,1185.932115294178
0.3162277660168379,-42.27096238028115,1429.466451370258,1057.765269190323
0.3981071705534969,-43.0816690095801,1243.39800410723,908.1540826978644
0.5011872336272725,-43.91965720130698,1117.780967646823,805.1523577368552
0.6309573444801929,-44.14514567913741,1010.950154497119,725.4353239308443
0.7943282347242822,-44.97034962648079,907.1655014441734,641.7947467075074
1,-45.12657448318109,800.6015102976575,564.8587578248073
1.258925411794166,-46.08751134251078,707.7408814753555,490.8599653195579
1.584893192461114,-46.40317570479528,630.0948535529403,434.5004338041471
1.995262314968879,-46.80176600382313,559.1600382473927,382.7588221551657
2.511886431509582,-47.47139036865755,498.0594961430559,336.6674352400884
3.162277660168379,-47.19322413407864,441.2914610615933,299.869935399717
3.981071705534969,-47.59168921234095,393.0286240269181,265.0622354127033
5.011872336272725,-47.73568966551119,348.5600530491801,234.4246440854836
6.30957344480193,-47.78879753813754,308.9672779810277,207.5844295178968
7.943282347242822,-48.1168725421979,274.0394258694004,182.9523765608419
10,-48.32734402247399,240.5291798766204,159.9215861309759
12.58925411794166,-48.4729724243867,212.7713107654518,141.0616920879078
15.84893192461114,-48.71374451328553,187.5357899820146,123.7401332093383
19.95262314968879,-48.82956198419627,165.0152786458929,108.6297495172286
25.11886431509582,-48.94403910526511,145.9782348705589,95.87789771549863
31.62277660168379,-48.68406292194842,128.0971590346507,84.57110349456474
39.81071705534969,-48.59468465409197,112.2604950510272,74.24700905036124
50.11872336272725,-48.14251247951139,98.7447184284423,65.89038611736791
63.09573444801929,-47.68779309897275,86.70643657313401,58.36817859244623
79.43282347242821,-46.97481167181132,76.15960398034444,51.9652066182256
100,-45.93651980602218,67.07482442314249,46.64751719809357
125.8925411794166,-44.58205187701178,59.15182383138951,42.13064773942089
158.4893192461114,-42.8927019901526,52.25398721002718,38.28281770572609
199.5262314968879,-40.532558966012,46.29387005330099,35.18504424127793
251.1886431509582,-38.13561177221935,41.39645214809825,32.56043556460892
316.227766016838,-35.63111217691885,37.23243153839092,30.26194483919522
398.1071705534969,-32.25828310340717,33.64588733918111,28.45266715729657
501.1872336272725,-29.07347954779436,31.1649050677593,27.23804098600025
630.9573444801929,-25.5744618288661,29.13587569468239,26.28128909830787
794.3282347242822,-21.87047206942053,27.12503415813822,25.17280078878706
1000,-19.03188418742666,26.40214800575303,24.95893414092621
1258.925411794166,-16.94919203565949,25.28915589291556,24.1906871473897
1584.893192461114,-14.27463401601888,24.54954244666557,23.79157502478361
1995.262314968879,-10.75431686154885,24.15237219848679,23.72816818299381
2511.886431509582,-10.08286818527114,23.57636244566527,23.2122390078986
3162.277660168379,-8.020755210732721,23.19169860290073,22.96482786991388
3981.071705534969,-6.225741984721129,22.92957790702137,22.79434708533396
5011.872336272725,-5.027323413613275,22.93288893309029,22.84466660652151
6309.57344480193,-4.39963556864995,22.93543687331048,22.8678516494826
7943.282347242822,-3.669804167013032,22.86089686240189,22.81402034857493
10000,-4.147108263490268,23.10867322977216,23.04816688963534
12589.25411794166,-1.369851682842739,22.63389229355553,22.62742369212975
15848.93192461114,-2.48422700516374,23.01114474800742,22.98951868402423
19952.62314968879,-1.503784800675002,22.92021768722813,22.91232381797398
25118.86431509582,0.8576783511972298,22.87040069135898,22.86783833635371
31622.77660168379,-1.287289538681615,22.64828971295497,22.64257368476071
39810.71705534969,-0.8891713031654124,22.90283418995161,22.90007630510781
50118.72336272724,-1.726817538898214,22.43797437016236,22.42778450551934
63095.73444801931,-1.329427418504475,22.83737527037482,22.83122802276827
79432.82347242821,0.172093367664425,23.56096865570403,23.56086237710494
100000,-2.019959284059752,22.57693206095541,22.56290295763181
125892.5411794166,-2.394431361832019,22.04251925907804,22.02327383234453
158489.3192461114,-4.516442642928832,22.58659289636388,22.516456480199
199526.2314968879,0.6573269039054752,21.24593338912973,21.24453522354611
251188.6431509582,1.270485136702318,21.09737736861835,21.09219086610202
316227.7660168379,1.578972603435852,23.49514859451802,23.48622736651257
398107.1705534969,0.7228204793578463,23.20457171139552,23.20272519386952
501187.2336272725,1.659827895227554,23.03924512038283,23.02957818690299
630957.344480193,3.018714404550235,23.34983526163404,23.31743472895505
794328.2347242822,3.265489961478127,22.94776940337415,22.91050927379821
1000000,4.782278824007421,22.8279883490133,22.74851710301379
1258925.411794166,4.112266358865093,22.81630084047736,22.75755920850971
1584893.192461114,6.941201706285773,23.58001760034929,23.40719244058274
1995262.314968879,7.579428755507749,23.10203460126701,22.90019122771222
2511886.431509582,9.017622008249726,23.76668899067156,23.47293700639113
3162277.66016838,12.88490454712437,23.39023546763039,22.80126884807445
3981071.705534969,14.75716526644321,24.49616901911848,23.68814062854603
