#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.01 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm)
0.1,-18.77250520998179,903.1698785326161,855.1246714492905
0.1258925411794166,-22.33859699483768,1091.293288272022,1009.395971973945
0.1584893192461114,-24.57032659048628,1091.645871972782,992.7990612974567
0.1995262314968879,-26.47378300204594,1060.824126260541,949.5844491988619
0.2511886431509582,-29.43178023810566,1060.361842952942,923.5130148945608
0.3162277660168379,-32.81277519757035,991.1144522083345,832.9779770159839
0.3981071705534969,-34.94232837788803,880.5949358445231,721.8491781134924
0.5011872336272725,-37.80647592630906,812.8435626092509,642.2161017763312
0.6309573444801929,-40.51658527054349,729.4366092836891,554.5307961719592
0.7943282347242822,-42.50220535814675,674.0120979904104,496.9163172182001
1,-44.73204974533294,581.9840037687653,413.4448713075234
1.258925411794166,-45.87040156979262,515.6488597620393,359.0378859856963
1.584893192461114,-46.52293004630229,454.6966360797712,312.8604872719156
1.995262314968879,-47.24816272058372,402.3499988304844,273.1249532499594
2.511886431509582,-47.76376233377688,350.0521866439323,235.3012254720609
3.162277660168379,-47.57191419105574,309.6503645670551,208.9100433158757
3.981071705534969,-47.20313557483663,269.5470035443923,183.1305439355193
5.011872336272725,-46.53027534831544,239.4584109115498,164.7404875569118
6.30957344480193,-45.79881175218934,211.923234397423,147.7486343259329
7.943282347242822,-44.76070183827377,188.7518334882199,134.0239690331548
10,-44.17813718406239,168.2905687691106,120.6940542872999
12.58925411794166,-43.05434760622881,149.6730299423818,109.3670508835991
15.84893192461114,-41.9971470363802,134.595243320796,100.0282429855779
19.95262314968879,-41.00477354064322,120.6676108276299,91.06240603894503
25.11886431509582,-39.89723191343165,109.664306998897,84.1340331107186
31.62277660168379,-38.39732004241881,98.87388777299103,77.48969150748387
39.81071705534969,-37.98536988092734,89.63431909023981,70.64689602330967
50.11872336272725,-37.15633150230931,81.61809241959514,65.04884325230931
63.09573444801929,-36.02348754640263,73.83246648353698,59.71392489318121
79.43282347242821,-35.17072306735324,67.63613594487703,55.28843808192475
100,-34.45828620860996,62.38467773114247,51.43855850999163
125.8925411794166,-33.60990220422374,56.74936123295665,47.26232012534325
158.4893192461114,-32.57819887104208,52.25204763368462,44.03057142142731
199.5262314968879,-31.79203868117661,47.46466611777061,40.34334793673947
251.1886431509582,-30.85661064528529,43.86780448602406,37.65847283429217
316.227766016838,-30.0201468152934,40.57422325536702,35.13117238404777
398.1071705534969,-28.44671555429392,37.53335498423552,33.00159590596269
501.1872336272725,-27.28994399475785,34.31454883903407,30.49526120405346
630.9573444801929,-25.94337730247809,32.1993600823911,28.95452845342284
794.3282347242822,-23.63067959670428,29.69697338637994,27.20682952472169
1000,-20.94951604455943,28.21881708217732,26.35343549023069
1258.925411794166,-19.11468064496906,26.73754660433197,25.26337302951023
1584.893192461114,-17.77484189681235,25.24436823634708,24.03929119001147
1995.262314968879,-16.06323766675446,24.57718548908116,23.61761568455395
2511.886431509582,-11.16676213093866,23.1881341257656,22.74912866326667
3162.277660168379,-10.25892277340311,23.33260828767258,22.95958927815531
3981.071705534969,-6.979260640248001,22.40860517196219,22.24256188213047
5011.872336272725,-8.492000606354363,22.76699087754494,22.51738475097819
6309.57344480193,-6.352533177599155,22.26315514785318,22.12645770148745
7943.282347242822,-1.944947383834802,22.53235309424582,22.51937217949813
10000,-4.279418927124879,21.48274141010858,21.42284757240814
12589.25411794166,-3.876163479870887,22.22783539439822,22.17698896774428
15848.93192461114,-3.067603693351022,21.73319967599273,21.70205791489263
19952.62314968879,2.173406215183824,22.31515537441456,22.29910244163838
25118.86431509582,0.2949649363937784,22.097329451906,22.09703662946501
31622.77660168379,-5.768028473315567,23.94361401845487,23.8223861646172
39810.71705534969,3.05955298453052,21.65813344150603,21.6272618854104
50118.72336272724,-0.8368373921300319,23.25027372706495,23.24779386660463
63095.73444801931,5.592546177384504,22.99971041200072,22.89023377956988
79432.82347242821,-2.110434406626355,20.25540211524205,20.24166295391078
100000,0.4155504593669866,19.38068950854908,19.38017977925497
125892.5411794166,6.473847075868517,21.34773908105692,21.21161360679696
158489.3192461114,-2.257551861297241,22.02764744054867,22.01055074646863
199526.2314968879,5.536949429283719,22.77696931350024,22.67069610864192
251188.6431509582,6.124949772946888,20.5831742143057,20.46567674028767
316227.7660168379,-1.359159844310376,21.80520678470642,21.79907191062294
398107.1705534969,1.295204191796089,20.5088113748102,20.50357147215797
501187.2336272725,2.118638673335795,23.36219703041406,23.34622711088948
630957.344480193,-0.6320442290953497,22.03834176928721,22.03700087608239
794328.2347242822,2.718907744798892,23.01740278819688,22.99149153004065
1000000,-0.09116035133235337,22.79921824166064,22.79918938430151
