#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.5 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm)
0.1,-30.8744339201065,527.3194108152862,452.5950698820863
0.1258925411794166,-31.99415849357096,599.957178594238,508.824954405053
0.1584893192461114,-32.62857315824733,599.1961581878993,504.6331833566612
0.1995262314968879,-33.09985209210313,576.6243482652451,483.0498218961015
0.2511886431509582,-33.4958728067372,546.6893280229998,455.8982136623013
0.3162277660168379,-33.85887729101867,513.9087314583737,426.7561726993387
0.3981071705534969,-34.13341145312042,480.7106769439386,397.9002171384876
0.5011872336272725,-34.4046809828188,448.7091966432322,370.2153026495683
0.6309573444801929,-34.66310539682274,418.1704803955093,343.9495891824857
0.7943282347242822,-34.93438357070568,389.206149874019,319.0744631158126
1,-35.24445608730451,362.0869525391959,295.7154711325533
1.258925411794166,-35.60672379978201,336.2387275003848,273.372993679246
1.584893192461114,-35.99310252765207,311.7532406106707,252.2357274455834
1.995262314968879,-36.39273351864844,288.5255600286305,232.2541461456912
2.511886431509582,-36.77241886632637,266.6002480507874,213.5520339434207
3.162277660168379,-37.16879088156071,245.6903270879364,195.7805793377535
3.981071705534969,-37.53184982347455,225.9786560592972,179.2044225401997
5.011872336272725,-37.84487745715904,207.2285514680614,163.6431452156384
6.30957344480193,-38.08758947460171,189.4023650045715,149.0726649176677
7.943282347242822,-38.24211160715837,172.4328783575994,135.4291549996636
10,-38.24924225476563,156.3652536098404,122.7975613082237
12.58925411794166,-38.08311429044075,141.2044833377198,111.1444260387042
15.84893192461114,-37.72358558118436,127.0568764490809,100.4983977860164
19.95262314968879,-37.16278101600634,113.9862519132126,90.83820813192831
25.11886431509582,-36.39426282323419,102.1928138570833,82.26043395287878
31.62277660168379,-35.49665940284842,91.73326784266179,74.68458263688436
39.81071705534969,-34.58996873070956,82.69602750849194,68.07832815066521
50.11872336272725,-33.64981957931516,74.84834424409365,62.3067364665301
63.09573444801929,-32.80891173377186,68.1309737838142,57.26288003539575
79.43282347242821,-31.99801859443796,62.29660918166307,52.83166241057619
100,-31.23515649871581,57.16723433269517,48.88062873976197
125.8925411794166,-30.44666755069214,52.60853920003733,45.35388569150282
158.4893192461114,-29.62575447389865,48.52057927674579,42.17762051496663
199.5262314968879,-28.69209120550699,44.84400637870584,39.33772037866258
251.1886431509582,-27.6672731181278,41.51878062553762,36.7714815344909
316.227766016838,-26.49248252622767,38.57767492123883,34.52674504249678
398.1071705534969,-25.15011678287768,35.93710686552794,32.53017584832742
501.1872336272725,-23.68283189271832,33.60770251439782,30.77736235827454
630.9573444801929,-22.08391316758417,31.58856993804236,29.27105005994617
794.3282347242822,-20.40236476503133,29.82653311238785,27.95544316925902
1000,-18.613810263701,28.32827799053292,26.84646832523361
1258.925411794166,-16.78951849674279,27.04311798318347,25.89033357845517
1584.893192461114,-14.95625646908768,25.97011843072256,25.09033249386935
